"timeMillisSpent","moveType","bestScoreDiff"
185,"ChangeMove(Lecture.room)","1hard/-4soft"
188,"ChangeMove(Lecture.room)","1hard/-254soft"
198,"ChangeMove(Lecture.period)","1hard/-497soft"
212,"ChangeMove(Lecture.room)","1hard/-650soft"
225,"ChangeMove(Lecture.room)","0hard/3soft"
225,"ChangeMove(Lecture.room)","0hard/3soft"
227,"ChangeMove(Lecture.room)","0hard/19soft"
238,"ChangeMove(Lecture.room)","0hard/63soft"
247,"ChangeMove(Lecture.period)","0hard/74soft"
248,"ChangeMove(Lecture.period)","0hard/3soft"
256,"ChangeMove(Lecture.room)","1hard/-238soft"
270,"ChangeMove(Lecture.room)","1hard/-121soft"
273,"ChangeMove(Lecture.room)","0hard/4soft"
311,"ChangeMove(Lecture.period)","0hard/87soft"
312,"ChangeMove(Lecture.day)","0hard/53soft"
327,"ChangeMove(Lecture.day)","0hard/8soft"
348,"ChangeMove(Lecture.room)","1hard/-362soft"
348,"ChangeMove(Lecture.period)","0hard/2soft"
357,"ChangeMove(Lecture.room)","0hard/35soft"
367,"ChangeMove(Lecture.period)","0hard/36soft"
370,"ChangeMove(Lecture.room)","0hard/35soft"
410,"ChangeMove(Lecture.day)","0hard/15soft"
438,"ChangeMove(Lecture.day)","0hard/14soft"
448,"ChangeMove(Lecture.room)","0hard/102soft"
450,"ChangeMove(Lecture.room)","0hard/36soft"
468,"ChangeMove(Lecture.room)","0hard/22soft"
475,"ChangeMove(Lecture.room)","0hard/53soft"
489,"ChangeMove(Lecture.room)","0hard/178soft"
512,"ChangeMove(Lecture.room)","0hard/50soft"
556,"ChangeMove(Lecture.day)","1hard/-188soft"
561,"ChangeMove(Lecture.day)","1hard/-55soft"
602,"ChangeMove(Lecture.period)","1hard/-354soft"
759,"ChangeMove(Lecture.room)","0hard/397soft"
1016,"ChangeMove(Lecture.day)","0hard/50soft"
1211,"ChangeMove(Lecture.room)","0hard/5soft"
1213,"ChangeMove(Lecture.room)","0hard/16soft"
1227,"ChangeMove(Lecture.room)","0hard/1soft"
1227,"ChangeMove(Lecture.room)","0hard/79soft"
1230,"ChangeMove(Lecture.room)","0hard/6soft"
1231,"ChangeMove(Lecture.room)","0hard/1soft"
1232,"ChangeMove(Lecture.room)","0hard/2soft"
1234,"ChangeMove(Lecture.room)","0hard/1soft"
1234,"ChangeMove(Lecture.room)","0hard/3soft"
1240,"ChangeMove(Lecture.room)","0hard/3soft"
1257,"ChangeMove(Lecture.room)","0hard/33soft"
1258,"ChangeMove(Lecture.room)","0hard/1soft"
1260,"ChangeMove(Lecture.room)","0hard/22soft"
1275,"ChangeMove(Lecture.room)","0hard/8soft"
1275,"ChangeMove(Lecture.room)","0hard/29soft"
1278,"ChangeMove(Lecture.room)","0hard/32soft"
1279,"ChangeMove(Lecture.room)","0hard/3soft"
1280,"ChangeMove(Lecture.room)","0hard/46soft"
1280,"ChangeMove(Lecture.room)","0hard/3soft"
1280,"ChangeMove(Lecture.room)","0hard/1soft"
1351,"ChangeMove(Lecture.room)","0hard/4soft"
1351,"ChangeMove(Lecture.room)","0hard/9soft"
1371,"ChangeMove(Lecture.room)","0hard/3soft"
1372,"ChangeMove(Lecture.room)","0hard/2soft"
1373,"ChangeMove(Lecture.room)","0hard/2soft"
1376,"ChangeMove(Lecture.room)","0hard/32soft"
1404,"ChangeMove(Lecture.room)","0hard/17soft"
1405,"ChangeMove(Lecture.room)","0hard/1soft"
1429,"ChangeMove(Lecture.room)","0hard/7soft"
1429,"ChangeMove(Lecture.room)","0hard/3soft"
1598,"ChangeMove(Lecture.room)","0hard/11soft"
1598,"ChangeMove(Lecture.room)","0hard/1soft"
1599,"ChangeMove(Lecture.room)","0hard/1soft"
1601,"ChangeMove(Lecture.room)","0hard/25soft"
1621,"ChangeMove(Lecture.room)","0hard/12soft"
1621,"ChangeMove(Lecture.room)","0hard/36soft"
1652,"ChangeMove(Lecture.room)","0hard/11soft"
1696,"ChangeMove(Lecture.room)","0hard/6soft"
1697,"ChangeMove(Lecture.room)","0hard/42soft"
1698,"ChangeMove(Lecture.room)","0hard/2soft"
1777,"ChangeMove(Lecture.room)","0hard/17soft"
1778,"ChangeMove(Lecture.room)","0hard/1soft"
1778,"ChangeMove(Lecture.room)","0hard/1soft"
1797,"ChangeMove(Lecture.room)","0hard/16soft"
1878,"ChangeMove(Lecture.room)","0hard/30soft"
1897,"ChangeMove(Lecture.room)","0hard/2soft"
1899,"ChangeMove(Lecture.room)","0hard/1soft"
1903,"ChangeMove(Lecture.room)","0hard/2soft"
1930,"ChangeMove(Lecture.room)","0hard/1soft"
1963,"ChangeMove(Lecture.room)","0hard/33soft"
1978,"ChangeMove(Lecture.room)","0hard/13soft"
1978,"ChangeMove(Lecture.room)","0hard/1soft"
1978,"ChangeMove(Lecture.room)","0hard/1soft"
1979,"ChangeMove(Lecture.room)","0hard/1soft"
1979,"ChangeMove(Lecture.room)","0hard/1soft"
1980,"ChangeMove(Lecture.room)","0hard/1soft"
1981,"ChangeMove(Lecture.room)","0hard/1soft"
1981,"ChangeMove(Lecture.room)","0hard/3soft"
1983,"ChangeMove(Lecture.room)","0hard/1soft"
1983,"ChangeMove(Lecture.room)","0hard/10soft"
2035,"ChangeMove(Lecture.room)","0hard/10soft"
2036,"ChangeMove(Lecture.room)","0hard/11soft"
2054,"ChangeMove(Lecture.room)","0hard/16soft"
2055,"ChangeMove(Lecture.room)","0hard/2soft"
2082,"ChangeMove(Lecture.room)","0hard/3soft"
2083,"ChangeMove(Lecture.room)","0hard/1soft"
2098,"ChangeMove(Lecture.room)","0hard/11soft"
2099,"ChangeMove(Lecture.room)","0hard/2soft"
2111,"ChangeMove(Lecture.room)","0hard/1soft"
2128,"ChangeMove(Lecture.room)","0hard/5soft"
2129,"ChangeMove(Lecture.room)","0hard/1soft"
2161,"ChangeMove(Lecture.room)","0hard/4soft"
2161,"ChangeMove(Lecture.room)","0hard/2soft"
2163,"ChangeMove(Lecture.room)","0hard/8soft"
2165,"ChangeMove(Lecture.room)","0hard/7soft"
2167,"ChangeMove(Lecture.room)","0hard/11soft"
2185,"ChangeMove(Lecture.room)","0hard/10soft"
2185,"ChangeMove(Lecture.room)","0hard/9soft"
2192,"ChangeMove(Lecture.room)","0hard/6soft"
2193,"ChangeMove(Lecture.room)","0hard/46soft"
2195,"ChangeMove(Lecture.room)","0hard/8soft"
