"timeMillisSpent","moveType","bestScoreDiff"
226,"ChangeMove(Lecture.day)","1hard/0soft"
236,"ChangeMove(Lecture.day)","1hard/0soft"
252,"ChangeMove(Lecture.day)","1hard/0soft"
286,"ChangeMove(Lecture.room)","0hard/3soft"
328,"ChangeMove(Lecture.room)","1hard/-4soft"
355,"ChangeMove(Lecture.room)","0hard/5soft"
467,"ChangeMove(Lecture.room)","1hard/-5soft"
538,"ChangeMove(Lecture.room)","1hard/-2soft"
594,"ChangeMove(Lecture.day)","1hard/0soft"
602,"ChangeMove(Lecture.room)","1hard/-4soft"
700,"ChangeMove(Lecture.room)","1hard/-4soft"
707,"ChangeMove(Lecture.room)","0hard/1soft"
723,"ChangeMove(Lecture.room)","0hard/1soft"
889,"ChangeMove(Lecture.room)","1hard/-2soft"
905,"ChangeMove(Lecture.room)","0hard/1soft"
920,"ChangeMove(Lecture.room)","0hard/1soft"
934,"ChangeMove(Lecture.room)","0hard/3soft"
940,"ChangeMove(Lecture.room)","0hard/5soft"
1242,"ChangeMove(Lecture.room)","0hard/2soft"
1718,"ChangeMove(Lecture.room)","0hard/22soft"
1750,"ChangeMove(Lecture.room)","0hard/2soft"
2367,"ChangeMove(Lecture.room)","0hard/2soft"
3060,"ChangeMove(Lecture.room)","0hard/2soft"
3520,"ChangeMove(Lecture.room)","0hard/4soft"
6386,"ChangeMove(Lecture.room)","0hard/21soft"
9683,"ChangeMove(Lecture.room)","0hard/21soft"
9923,"ChangeMove(Lecture.room)","0hard/2soft"
20820,"ChangeMove(Lecture.room)","0hard/19soft"
20838,"ChangeMove(Lecture.room)","0hard/2soft"
21092,"ChangeMove(Lecture.room)","0hard/1soft"
23759,"ChangeMove(Lecture.room)","0hard/26soft"
23854,"ChangeMove(Lecture.room)","0hard/1soft"
24132,"ChangeMove(Lecture.room)","0hard/3soft"
24371,"ChangeMove(Lecture.room)","0hard/2soft"
27526,"ChangeMove(Lecture.room)","0hard/30soft"
27748,"ChangeMove(Lecture.room)","0hard/5soft"
39655,"ChangeMove(Lecture.room)","0hard/7soft"
50877,"ChangeMove(Lecture.room)","0hard/5soft"
